id,spacegroup,number_of_total_atoms,percent_atom_al,percent_atom_ga,percent_atom_in,lattice_vector_1_ang,lattice_vector_2_ang,lattice_vector_3_ang,lattice_angle_alpha_degree,lattice_angle_beta_degree,lattice_angle_gamma_degree,formation_energy_ev_natom,bandgap_energy_ev,vol,n_ga,n_al,n_in,n_o,mass_al,mass_ga,mass_in,mass_o,density,z_al,z_ga,z_in,z_o,z_tot,r_ene,k_ene,p_ene,eta,r_gao_ave,r_gao_min,r_alo_ave,r_alo_min,r_ino_ave,r_ino_min,inv_r_gao_sum,inv2_r_gao_sum,inv_r_alo_sum,inv2_r_alo_sum,inv_r_ino_sum,inv2_r_ino_sum,mass_tot,inv2_r_sum,inv_r_sum,r_min,r_mean,ngao_mean,nalo_mean,nino_mean,n_mean,coul,rmean,cgaga,rgaga,calal,ralal,cinin,rinin,coo,roo,cgaal,rgaal,cgain,rgain,cgao,rgao,calin,ralin,calo,ralo,cino,rino
1,33,80.0,0.625,0.375,0.0,9.9523,8.5513,9.1775,90.0026,90.0023,90.0017,0.068,3.4387,781.0520809134047,12,20,0,48,539.630772,836.6759999999997,0.0,767.9712,2.745371306728182,260,372,0,384,1016,407482.5919187869,17381.18291372656,-55094.37450657413,0.14219627069898766,1.955994729440916,1.7713028803556743,1.9530032644780304,1.771244409699857,inf,inf,22.06085284758384,11.356472201693474,40.682577738610476,21.063356801632647,0.0,0.0,2144.277972,32.41982900332612,62.74343058619432,1.771244409699857,1.9540576332764243,0.8958333333333334,1.6458333333333333,0.0,2.5416666666666665,-194.51897401995674,1.9540576332764248,7.094979270977513,3.1998900307948874,31.03982234118801,3.2461766718931693,0.0,inf,93.2561521972872,3.0140352859534336,40.99154439245547,3.224867409056182,0.0,inf,-68.13883321016085,1.955994729440916,0.0,inf,-126.38014080979588,1.9530032644780309,0.0,inf
2,194,80.0,0.625,0.375,0.0,6.184,6.1838,23.6287,90.0186,89.99799999999998,120.0025,0.249,2.9210000000000003,782.5001097924257,12,20,0,48,539.630772,836.6759999999997,0.0,767.9712,2.740290953529468,260,372,0,384,1016,527656.3275466681,1865882.5520961715,-55060.36918384233,0.1420207922455582,2.1030096732041508,1.784885412387276,2.1926049291607788,1.784885412387276,inf,inf,26.880720870733786,13.422933159985789,38.172963457168095,18.478959022522314,0.0,0.0,2144.277972,31.90189218250811,65.05368432790188,1.784885412387276,2.156371553590084,0.9583333333333334,1.2916666666666667,0.0,2.25,-172.15340092929563,1.9496863827273057,11.5080205622105,3.3228340332193893,21.876523221593953,3.2853107903250605,0.0,inf,74.77156474584051,2.9482105919081603,40.5442748173992,3.2789983008912595,0.0,inf,-74.34754290663699,1.9365926080365448,0.0,inf,-97.80585802265864,1.9594011187881923,0.0,inf
3,227,40.0,0.8125,0.1875,0.0,9.751,5.6595,13.963,90.9688,91.1228,30.5185,0.1821,2.7438,391.2275308166618,3,13,0,24,350.7600018,209.169,0.0,383.9856,2.4126998420321804,169,93,0,192,454,54878.67375265651,6974.757433823386,-22736.74661596541,0.17894185347041264,1.8695814585263648,1.784013967191917,1.9479147553636669,1.7840139671919175,inf,inf,4.287180807018025,2.301781301767969,18.500178384570727,9.517410333272736,0.0,0.0,943.9146018,11.819191635040704,22.78735919158875,1.784013967191917,1.933672337756885,0.3333333333333333,1.5,0.0,1.8333333333333333,-70.91514981024423,1.9336723377568843,0.8111678122879102,3.3309330225539875,16.68065921446421,3.146522527873393,0.0,inf,26.510696177454573,2.9614259705348562,8.216871478359591,3.3239974478537784,0.0,inf,-13.810687810607815,1.8695814585263648,0.0,inf,-57.10446199963643,1.9479147553636669,0.0,inf
4,167,30.0,0.75,0.0,0.25,5.0036,5.0034,13.5318,89.9888,90.0119,120.0017,0.2172,3.3492,293.3773344671124,0,9,3,18,242.8338474,0.0,344.454,287.9892,2.983451495971372,117,0,147,144,408,64196.58782543992,16954.325115760545,-35608.88709422342,0.1969703784719351,inf,inf,2.0197466798552286,1.9373720333630882,2.026801034583352,1.9374394721494312,0.0,0.0,14.375253283925884,7.134327422016034,5.433401470500439,2.6868906407331057,875.2770473999999,9.821218062749141,19.808654754426325,1.9373720333630882,2.0216866274054626,0.0,1.6111111111111112,0.6111111111111112,2.2222222222222223,-58.92730837649486,2.0216866274054626,0.0,inf,11.830637656676517,3.445569208415134,1.2544214593370937,3.794669016342595,22.551991291930776,3.0151983252746155,0.0,inf,0.0,inf,0.0,inf,11.02723472380416,3.316788596145708,-42.80596453209621,2.019746679855229,-16.12134384439863,2.026801034583352
5,194,80.0,0.0,0.625,0.375,6.6614,6.6612,24.5813,89.99600000000002,90.0006,119.9893,0.0505,1.3793,944.7138434058064,20,0,12,48,0.0,1394.46,1377.816,767.9712,3.747428096572592,0,620,588,384,1592,1252978.0039395979,1941311.0097288324,-146938.5541722577,0.12525873349185207,2.016436272450952,1.9229365551053577,inf,inf,2.195003885574504,2.1948152122187365,37.279150410497024,18.570358243927306,0.0,0.0,15.034142031047274,6.849255388011381,3540.2472,25.41961363193869,52.313292441544284,1.9229365551053577,2.0709985986831483,1.5625,0.0,0.6875,2.25,-152.51768179163213,2.0709985986831483,26.499416160169158,3.4567944294510315,0.0,inf,8.11190559942102,3.3308863484602624,62.253261367347704,3.0316926680015284,0.0,inf,30.715612628340892,3.5564757969988383,-111.42214946356384,2.016436272450952,0.0,inf,0.0,inf,-41.09553232806828,2.195003885574504
6,227,40.0,0.5625,0.4375,0.0,9.8456,5.7176,14.1244,91.1235,91.3033,30.573,0.2209,2.1633,404.3155782668508,7,9,0,24,242.8338474,488.061,0.0,383.9856,2.7574511280991802,117,217,0,192,526,70164.98406935643,8269.423858369688,-33257.19222333959,0.17505904456590984,1.9489960096997545,1.7998543596363572,1.9611341083246696,1.7998543596363568,inf,inf,10.792544684471617,5.5561359818682,11.742715909166384,6.003229554235902,0.0,0.0,1114.8804474,11.559365536104105,22.535260593638,1.7998543596363568,1.9553409248900515,0.875,0.9583333333333334,0.0,1.8333333333333333,-69.35619321662463,1.9553409248900515,2.373974557965788,3.3740968233034896,5.322290048179377,3.2139821456373032,0.0,inf,24.70706558802599,2.8944122694990813,17.46325041738613,3.240665239595006,0.0,inf,-33.33681589120921,1.9489960096997545,0.0,inf,-36.01937732541543,1.9611341083246696,0.0,inf
7,206,80.0,0.0312,0.0938,0.875,10.1664,10.1664,10.1666,90.0009,90.0008,89.9987,0.0562,0.9854,1050.7759468782083,3,1,28,48,26.9815386,209.169,3214.9040000000005,767.9712,4.015152565239497,13,93,1372,384,1862,1512725.1003664916,133101.81466574664,-203558.64265619844,0.11668135230495348,2.1892061937565335,2.143000933417909,2.1713694322238903,2.1713531175727523,2.198929767313728,2.1429784871172006,5.025851352950426,2.296829194296686,2.7632331521027327,1.2725762422703677,55.04405534767982,25.04789471773028,4219.0257386,28.61730015429733,62.83313985273297,2.1429784871172006,2.1969564244175825,0.22916666666666666,0.125,2.520833333333333,2.875,-171.70380092578404,2.1969564244175825,0.0,inf,0.0,inf,56.23505870866896,3.5317006115784357,75.17547535842306,3.136084884240859,0.0,inf,9.577731925079068,3.5154248274640185,-13.780975165780115,2.1892061937565326,4.2179749219455065,3.602728549763909,-7.635457453622204,2.1713694322238903,-150.28736830638172,2.1989297673137282
8,12,20.0,0.5,0.0,0.5,12.135,3.1533,6.287999999999999,89.9997,105.179,90.0001,0.2243,1.7179,232.2178272348881,0,4,4,12,107.9261544,0.0,459.272,191.9928,3.2693052184666223,52,0,196,96,344,57192.38296240982,58057.18031207242,-40249.09398979744,0.2010903208951987,inf,inf,2.0522280402036617,1.9156479372959463,1.9236567314088249,1.8779326070796465,0.0,0.0,6.837916881691557,3.34751228654848,4.1610970403059335,2.165563864632494,759.1909544,5.513076151180973,10.999013921997493,1.8779326070796465,2.0054748370055395,0.0,1.1666666666666667,0.6666666666666666,1.8333333333333333,-33.07845690708585,2.005474837005539,0.0,inf,1.7769269901556408,3.1827421858257106,0.6271579033568766,3.788199173085306,10.615393147781251,3.1406382781921973,0.0,inf,0.0,inf,0.0,inf,7.6138652777948925,3.4539709330899866,-20.08507371929088,2.0522280402036612,-12.993383187794967,1.9236567314088249
9,206,80.0,0.5312,0.2188,0.25,9.4027,9.4023,9.4025,90.0025,90.00299999999999,89.9978,0.2193,2.6257,831.2468733460803,7,17,8,48,458.6861562,488.061,918.544,767.9712,3.1678463289734027,221,217,392,384,1214,445509.2069288747,84102.74220798063,-95658.28682310072,0.13641271495995375,2.037821542468876,1.981917835497052,2.0304747001409744,1.9819152857755016,2.0301124535574733,1.9819152857755031,13.744613943207767,6.749126974872726,34.97690130349364,17.235494380115277,19.216959037311238,9.472048947218685,2633.2623562,33.456670302206696,67.93847428401264,1.9819152857755016,2.031862989767239,0.5833333333333334,1.4791666666666667,0.8125,2.875,-200.74002181324008,2.031862989767239,4.634021667829272,3.116244829823978,24.46352394750797,3.2255420204590988,5.838788002830152,3.3064726363269235,91.17977640364971,2.9578103194054886,15.668594539687884,3.3264917087703307,10.03354091783547,3.30227887484598,-40.49476184923636,2.0378215424688757,21.234918920432587,3.275660525411613,-103.41296628069166,2.030474700140973,-56.83229368331212,2.0301124535574733
10,194,80.0,0.4062,0.5938,0.0,6.2520000000000024,6.2520000000000024,23.7931,90.0172,89.9994,119.9997,0.1994,2.5187,805.4171778167835,19,13,0,48,350.7600018,1324.737,0.0,767.9712,3.0337920137529544,169,589,0,384,1142,1155471.6965391918,3452120.267925224,-71344.25540312014,0.13931384448637674,2.216295618636181,1.8046107844995816,2.1162563494218647,1.804610784499581,inf,inf,37.28982154332866,17.853167313821015,27.1809565209548,13.471513038325035,0.0,0.0,2443.4682018000008,31.32468035214605,64.47077806428345,1.804610784499581,2.175102978371464,1.2708333333333333,0.9791666666666666,0.0,2.25,-168.95539654583,1.9679451543922533,22.73912599836721,3.2828122338193197,12.218747459595587,3.3377425091994843,0.0,inf,73.37968220748952,2.976065676317178,37.57721092931128,3.3331418163158064,0.0,inf,-94.23111010528751,1.9802456360925589,0.0,inf,-74.72428644054247,1.9519806994195157,0.0,inf
